site,date,start_hour,peak_wind_speed
2410,2017-07-30,2,5.9
2410,2017-07-30,3,5.2
2410,2017-07-30,4,5.7
2410,2017-07-30,5,6.5
2410,2017-07-30,6,6.3
2410,2017-07-30,7,4.6
2410,2017-07-30,8,5.6
2410,2017-07-30,9,6.0
2410,2017-07-30,10,6.2
2410,2017-07-30,11,6.1
2410,2017-07-30,12,7.1
2410,2017-07-30,13,7.0
2410,2017-07-30,14,6.9
2410,2017-07-30,15,6.4
2410,2017-07-30,16,6.8
2410,2017-07-30,17,6.0
2410,2017-07-30,18,5.7
2410,2017-07-30,19,5.5
2410,2017-07-30,20,7.8
2410,2017-07-30,21,6.8
2410,2017-07-30,22,7.0
2410,2017-07-30,23,7.6
2410,2017-07-31,0,6.8
2410,2017-07-31,1,6.7
2410,2017-07-31,2,6.6
2410,2017-07-31,3,6.4
2410,2017-07-31,4,6.1
2410,2017-07-31,5,6.0
2410,2017-07-31,6,5.0
2410,2017-07-31,7,6.0
2410,2017-07-31,8,6.5
2410,2017-07-31,9,6.6
2410,2017-07-31,10,5.5
2410,2017-07-31,11,5.9
2410,2017-07-31,12,5.7
2410,2017-07-31,13,6.2
2410,2017-07-31,14,6.5
2410,2017-07-31,15,6.9
2410,2017-07-31,16,6.3
2410,2017-07-31,17,6.6
2410,2017-07-31,18,6.1
2410,2017-07-31,19,5.9
2410,2017-07-31,20,5.8
2410,2017-07-31,21,6.9
2410,2017-07-31,22,5.8
2410,2017-07-31,23,5.5
2410,2017-08-01,0,5.9
2410,2017-08-01,1,5.4
2410,2017-08-01,2,4.7
2410,2017-08-01,3,5.3
2410,2017-08-01,4,5.0
2410,2017-08-01,5,4.5
2410,2017-08-01,6,4.2
2410,2017-08-01,7,4.1
2410,2017-08-01,8,4.0
2410,2017-08-01,9,5.4
2410,2017-08-01,10,4.3
2410,2017-08-01,11,4.9
2410,2017-08-01,12,5.1
2410,2017-08-01,13,5.5
2410,2017-08-01,14,6.6
2410,2017-08-01,15,7.0
2410,2017-08-01,16,6.1
2410,2017-08-01,17,5.8
2410,2017-08-01,18,6.0
2410,2017-08-01,19,4.2
2410,2017-08-01,20,3.5
2410,2017-08-01,21,5.0
2410,2017-08-01,22,5.9
2410,2017-08-01,23,6.3
2410,2017-08-02,0,6.4
2410,2017-08-02,1,3.2
2410,2017-08-02,2,2.7
2410,2017-08-02,3,3.3
2410,2017-08-02,4,2.6
2410,2017-08-02,5,2.4
2410,2017-08-02,6,3.9
2410,2017-08-02,7,4.4
2410,2017-08-02,8,4.9
2410,2017-08-02,9,3.8
2410,2017-08-02,10,4.5
2410,2017-08-02,11,8.5
2410,2017-08-02,12,9.0
2410,2017-08-02,13,9.7
2410,2017-08-02,14,9.3
2410,2017-08-02,15,9.1
2410,2017-08-02,16,7.3
2410,2017-08-02,17,7.0
2410,2017-08-02,18,7.5
2410,2017-08-02,19,6.9
2410,2017-08-02,20,4.7
2410,2017-08-02,21,5.3
2410,2017-08-02,22,5.1
2410,2017-08-02,23,5.5
2410,2017-08-03,0,4.4
2410,2017-08-03,1,2.9
2410,2017-08-03,2,3.9
2410,2017-08-03,3,3.8
2410,2017-08-03,4,4.3
2410,2017-08-03,5,3.3
2410,2017-08-03,6,3.1
2410,2017-08-03,7,4.2
2410,2017-08-03,8,4.0
2410,2017-08-03,9,3.8
2410,2017-08-03,10,6.0
2410,2017-08-03,11,7.0
2410,2017-08-03,12,8.3
2410,2017-08-03,13,9.5
2410,2017-08-03,14,9.3
2410,2017-08-03,15,8.5
2410,2017-08-03,16,7.8
2410,2017-08-03,17,8.2
2410,2017-08-03,18,6.8
2410,2017-08-03,19,5.7
2410,2017-08-03,20,5.7
2410,2017-08-03,21,6.5
2410,2017-08-03,22,10.7
2410,2017-08-03,23,7.4
2410,2017-08-04,0,7.7
2410,2017-08-04,1,6.8
2410,2017-08-04,2,3.5
2410,2017-08-04,3,4.2
2410,2017-08-04,4,5.5
2410,2017-08-04,5,7.1
2410,2017-08-04,6,6.3
2410,2017-08-04,7,6.0
2410,2017-08-04,8,3.0
2410,2017-08-04,9,4.5
2410,2017-08-04,10,6.3
2410,2017-08-04,11,8.0
2410,2017-08-04,12,8.0
2410,2017-08-04,13,7.5
2410,2017-08-04,14,7.0
2410,2017-08-04,15,7.3
2410,2017-08-04,16,8.6
2410,2017-08-04,17,7.1
2410,2017-08-04,18,4.7
2410,2017-08-04,19,3.9
2410,2017-08-04,20,5.4
2410,2017-08-04,21,5.2
2410,2017-08-04,22,5.3
2410,2017-08-04,23,5.2
2410,2017-08-05,0,5.9
2410,2017-08-05,1,6.3
2410,2017-08-05,2,6.3
2410,2017-08-05,3,8.6
2410,2017-08-05,4,7.2
2410,2017-08-05,5,6.8
2410,2017-08-05,6,5.2
2410,2017-08-05,7,4.7
2410,2017-08-05,8,6.2
2410,2017-08-05,9,7.4
2410,2017-08-05,10,7.6
2410,2017-08-05,11,7.8
2410,2017-08-05,12,8.0
2410,2017-08-05,13,8.0
2410,2017-08-05,14,8.5
2410,2017-08-05,15,8.6
2410,2017-08-05,16,8.4
2410,2017-08-05,17,7.7
2410,2017-08-05,18,7.1
2410,2017-08-05,19,8.2
2410,2017-08-05,20,6.9
2410,2017-08-05,21,7.0
2410,2017-08-05,22,7.9
2410,2017-08-05,23,7.3
2410,2017-08-06,0,7.6
2410,2017-08-06,1,7.5
2410,2017-08-06,2,6.6
2410,2017-08-06,3,6.6
2410,2017-08-06,4,6.4
2410,2017-08-06,5,6.8
2410,2017-08-06,6,5.4
2410,2017-08-06,7,5.9
2410,2017-08-06,8,7.5
2410,2017-08-06,9,8.1
2410,2017-08-06,10,6.9
2410,2017-08-06,11,7.8
2410,2017-08-06,12,8.5
2410,2017-08-06,13,7.7
2410,2017-08-06,14,8.2
2410,2017-08-06,15,8.2
2410,2017-08-06,16,8.9
2410,2017-08-06,17,8.4
2410,2017-08-06,18,8.7
2410,2017-08-06,19,7.7
2410,2017-08-06,20,6.9
2410,2017-08-06,21,6.7
2410,2017-08-06,22,5.5
2410,2017-08-06,23,6.5
2410,2017-08-07,0,6.2
2410,2017-08-07,1,6.4
2410,2017-08-07,2,5.5
2410,2017-08-07,3,5.8
2410,2017-08-07,4,6.0
2410,2017-08-07,5,6.9
2410,2017-08-07,6,6.6
2410,2017-08-07,7,6.9
2410,2017-08-07,8,6.1
2410,2017-08-07,9,5.4
2410,2017-08-07,10,7.6
2410,2017-08-07,11,6.5
2410,2017-08-07,12,6.7
2410,2017-08-07,13,7.7
2410,2017-08-07,14,8.7
2410,2017-08-07,15,9.2
2410,2017-08-07,16,8.6
2410,2017-08-07,17,8.0
2410,2017-08-07,18,7.8
2410,2017-08-07,19,6.7
2410,2017-08-07,20,5.5
2410,2017-08-07,21,5.3
2410,2017-08-07,22,6.7
2410,2017-08-07,23,7.9
2410,2017-08-08,0,7.8
2410,2017-08-08,1,5.1
2410,2017-08-08,2,6.0
2410,2017-08-08,3,7.4
2410,2017-08-08,4,6.1
2410,2017-08-08,5,5.9
2410,2017-08-08,6,5.9
2410,2017-08-08,7,5.0
2410,2017-08-08,8,6.4
2410,2017-08-08,9,7.0
2410,2017-08-08,10,7.2
2410,2017-08-08,11,7.2
2410,2017-08-08,12,7.4
2410,2017-08-08,13,7.8
2410,2017-08-08,14,8.7
2410,2017-08-08,15,8.0
2410,2017-08-08,16,8.2
2410,2017-08-08,17,6.9
2410,2017-08-08,18,7.1
2410,2017-08-08,19,7.1
2410,2017-08-08,20,6.3
2410,2017-08-08,21,8.6
2410,2017-08-08,22,8.7
2410,2017-08-08,23,10.4
2410,2017-08-09,0,9.1
2410,2017-08-09,1,6.9
2410,2017-08-09,2,7.3
2410,2017-08-09,3,7.0
2410,2017-08-09,4,7.0
2410,2017-08-09,5,6.8
2410,2017-08-09,6,7.1
2410,2017-08-09,7,7.4
2410,2017-08-09,8,8.0
2410,2017-08-09,9,8.6
2410,2017-08-09,10,8.8
2410,2017-08-09,11,8.3
2410,2017-08-09,12,8.4
2410,2017-08-09,13,8.0
2410,2017-08-09,14,7.8
2410,2017-08-09,15,9.7
2410,2017-08-09,16,8.9
2410,2017-08-09,17,8.0
2410,2017-08-09,18,7.7
2410,2017-08-09,19,6.5
2410,2017-08-09,20,7.0
2410,2017-08-09,21,5.9
2410,2017-08-09,22,7.0
2410,2017-08-09,23,7.7
2410,2017-08-10,0,7.8
2410,2017-08-10,1,9.4
2410,2017-08-10,2,7.9
2410,2017-08-10,3,6.2
2410,2017-08-10,4,6.1
2410,2017-08-10,5,6.5
2410,2017-08-10,6,8.5
2410,2017-08-10,7,8.1
2410,2017-08-10,8,7.6
2410,2017-08-10,9,6.4
2410,2017-08-10,10,7.3
2410,2017-08-10,11,7.6
2410,2017-08-10,12,6.9
2410,2017-08-10,13,6.6
2410,2017-08-10,14,6.6
2410,2017-08-10,15,6.9
2410,2017-08-10,16,7.7
2410,2017-08-10,17,7.9
2410,2017-08-10,18,7.7
2410,2017-08-10,19,6.5
2410,2017-08-10,20,6.1
2410,2017-08-10,21,7.5
2410,2017-08-10,22,8.7
2410,2017-08-10,23,9.3
2410,2017-08-11,0,8.3
2410,2017-08-11,1,7.5
2410,2017-08-11,2,8.2
2410,2017-08-11,3,8.1
2410,2017-08-11,4,7.6
2410,2017-08-11,5,6.9
2410,2017-08-11,6,6.3
2410,2017-08-11,7,6.5
2410,2017-08-11,8,7.3
2410,2017-08-11,9,6.8
2410,2017-08-11,10,6.9
2410,2017-08-11,11,6.6
2410,2017-08-11,12,5.6
2410,2017-08-11,13,5.8
2410,2017-08-11,14,5.7
2410,2017-08-11,15,6.5
2410,2017-08-11,16,6.7
2410,2017-08-11,17,6.4
2410,2017-08-11,18,6.9
2410,2017-08-11,19,5.6
2410,2017-08-11,20,6.8
2410,2017-08-11,21,5.9
2410,2017-08-11,22,6.3
2410,2017-08-11,23,6.2
2410,2017-08-12,0,7.5
2410,2017-08-12,1,6.9
2410,2017-08-12,2,6.3
2410,2017-08-12,3,6.8
2410,2017-08-12,4,6.2
2410,2017-08-12,5,6.2
2410,2017-08-12,6,8.3
2410,2017-08-12,7,8.7
2410,2017-08-12,8,9.3
2410,2017-08-12,9,8.9
2410,2017-08-12,10,9.7
2410,2017-08-12,11,7.6
2410,2017-08-12,12,7.6
2410,2017-08-12,13,7.9
2410,2017-08-12,14,7.8
2410,2017-08-12,15,8.1
2410,2017-08-12,16,7.4
2410,2017-08-12,17,7.3
2410,2017-08-12,18,6.3
2410,2017-08-12,19,5.6
2410,2017-08-12,20,6.1
2410,2017-08-12,21,5.3
2410,2017-08-12,22,5.7
2410,2017-08-12,23,7.8
2410,2017-08-13,0,7.3
2410,2017-08-13,1,5.5
2410,2017-08-13,2,6.0
2410,2017-08-13,3,6.0
