site,date,start_hour,solar_radiation
2116,2022-02-18,19,0.0
2116,2022-02-18,20,0.0
2116,2022-02-18,21,0.0
2116,2022-02-18,22,0.0
2116,2022-02-18,23,0.0
2116,2022-02-19,0,0.0
2116,2022-02-19,1,0.0
2116,2022-02-19,2,0.0
2116,2022-02-19,3,0.0
2116,2022-02-19,4,0.0
2116,2022-02-19,5,0.0
2116,2022-02-19,6,6.97
2116,2022-02-19,7,125.51
2116,2022-02-19,8,369.57
2116,2022-02-19,9,550.87
2116,2022-02-19,10,683.35
2116,2022-02-19,11,753.08
2116,2022-02-19,12,753.08
2116,2022-02-19,13,690.33
2116,2022-02-19,14,571.79
2116,2022-02-19,15,390.49
2116,2022-02-19,16,195.24
2116,2022-02-19,17,13.95
2116,2022-02-19,18,0.0
2116,2022-02-19,19,0.0
2116,2022-02-19,20,0.0
2116,2022-02-19,21,0.0
2116,2022-02-19,22,0.0
2116,2022-02-19,23,0.0
2116,2022-02-20,0,0.0
2116,2022-02-20,1,0.0
2116,2022-02-20,2,0.0
2116,2022-02-20,3,0.0
2116,2022-02-20,4,0.0
2116,2022-02-20,5,0.0
2116,2022-02-20,6,6.97
2116,2022-02-20,7,146.43
2116,2022-02-20,8,334.7
2116,2022-02-20,9,271.95
2116,2022-02-20,10,299.84
2116,2022-02-20,11,237.08
2116,2022-02-20,12,174.32
2116,2022-02-20,13,230.11
2116,2022-02-20,14,655.46
2116,2022-02-20,15,411.41
2116,2022-02-20,16,195.24
2116,2022-02-20,17,13.95
2116,2022-02-20,18,0.0
2116,2022-02-20,19,0.0
2116,2022-02-20,20,0.0
2116,2022-02-20,21,0.0
2116,2022-02-20,22,0.0
2116,2022-02-20,23,0.0
2116,2022-02-21,0,0.0
2116,2022-02-21,1,0.0
2116,2022-02-21,2,0.0
2116,2022-02-21,3,0.0
2116,2022-02-21,4,0.0
2116,2022-02-21,5,0.0
2116,2022-02-21,6,6.97
2116,2022-02-21,7,132.49
2116,2022-02-21,8,355.62
2116,2022-02-21,9,543.89
2116,2022-02-21,10,683.35
2116,2022-02-21,11,760.06
2116,2022-02-21,12,774.0
2116,2022-02-21,13,704.27
2116,2022-02-21,14,578.76
2116,2022-02-21,15,397.46
2116,2022-02-21,16,209.19
2116,2022-02-21,17,20.92
2116,2022-02-21,18,0.0
2116,2022-02-21,19,0.0
2116,2022-02-21,20,0.0
2116,2022-02-21,21,0.0
2116,2022-02-21,22,0.0
2116,2022-02-21,23,0.0
2116,2022-02-22,0,0.0
2116,2022-02-22,1,0.0
2116,2022-02-22,2,0.0
2116,2022-02-22,3,0.0
2116,2022-02-22,4,0.0
2116,2022-02-22,5,0.0
2116,2022-02-22,6,6.97
2116,2022-02-22,7,153.41
2116,2022-02-22,8,383.52
2116,2022-02-22,9,571.79
2116,2022-02-22,10,641.52
2116,2022-02-22,11,697.3
2116,2022-02-22,12,690.33
2116,2022-02-22,13,522.97
2116,2022-02-22,14,404.43
2116,2022-02-22,15,397.46
2116,2022-02-22,16,188.27
2116,2022-02-22,17,13.95
2116,2022-02-22,18,0.0
2116,2022-02-22,19,0.0
2116,2022-02-22,20,0.0
2116,2022-02-22,21,0.0
2116,2022-02-22,22,0.0
2116,2022-02-22,23,0.0
2116,2022-02-23,0,0.0
2116,2022-02-23,1,0.0
2116,2022-02-23,2,0.0
2116,2022-02-23,3,0.0
2116,2022-02-23,4,0.0
2116,2022-02-23,5,0.0
